tic,gvkey,datadate,assets,revenue,net_income,operating_income,cash,debt_total,equity,rd,mktcap,cogs,intangibles,current_assets,current_liabilities,long_term_debt,roa,roe,op_margin,net_margin,cash_to_assets,debt_to_assets,debt_to_equity,current_ratio,rd_to_sales,log_assets,log_mktcap,mkt_to_book,p_to_s,p_to_e,gross_margin,asset_turnover,intangibles_to_assets,cash_ratio,long_term_debt_ratio
SWKS,1327,2024-12-31,8331.1,1068.5,162.0,195.5,1739.2,1193.0,6400.7,176.4,14250.876,502.9,3060.7,3443.8,579.6,1173.7,0.019445211316632856,0.025309731748090054,0.18296677585400092,0.15161441272812354,0.20875994766597447,0.14319837716508024,0.18638586404611995,5.94168391994479,0.16509124941506786,9.02775077926381,9.564573657491577,2.2264558563907073,13.337272812353767,87.96837037037037,0.5293401965372017,0.12825437217174201,0.3673824584988777,3.0006901311249137,0.14088175631069128
ADI,1632,2024-10-31,48228.277,2443.205,478.072,572.251,2363.164,7968.387,35176.317,378.903,110728.82367000001,694.37,36495.239,5484.654,2988.28,6952.883,0.00991269084732179,0.013590734925432927,0.23422144273607823,0.19567412476644408,0.048999552689804785,0.16522230308994865,0.2265270409065281,1.8353882500970458,0.1550844075712026,10.78370078777217,11.614839461227435,3.1478231126356975,45.32113501323058,231.61537105289582,0.7157954408246545,0.05065918071259315,0.756718698451533,0.7908107673979681,0.14416610819416167
AAPL,1690,2024-12-31,203985.34854360015,34871.602732700194,19127.606027500166,21673.972791100176,53470.768800000274,75305.25670000026,66758.0,3856.7544000000175,2603662.9807792315,14868.635100000118,0.0,93683.85524510048,49321.735800000155,67141.50990000027,0.0937695092518461,0.2865215558809456,0.6215364678600165,0.5485152539193047,0.26213043819944426,0.36916992929962517,1.1280334446807911,1.8994435967336776,0.11059871350230249,12.225803449382406,14.772429850270742,39.001512639372535,74.66427628053056,136.12069262802098,0.5736176735559868,0.17095150696691672,0.0,1.0841217960540657,0.3291486882728214
AMAT,1704,2024-10-31,34409.0,7045.0,1731.0,2052.0,9471.0,6605.0,19001.0,858.0,148532.44,3597.0,3981.0,21220.0,8468.0,5719.0,0.050306605829870094,0.0911004683964002,0.2912704045422285,0.24570617459190916,0.27524775494783343,0.19195559301345577,0.34761328351139414,2.5059045819555976,0.12178850248403122,10.446073437049854,11.908558664546359,7.817085416557023,21.0833839602555,85.80730213749278,0.48942512420156137,0.2047429451596966,0.11569647475951059,1.1184459140292868,0.1662065157371618
ADSK,1878,2024-10-31,10133.0,1570.0,275.0,357.0,1725.0,2578.0,2616.0,378.0,61017.0,112.0,4850.0,2899.0,4468.0,2218.0,0.02713905062666535,0.10512232415902141,0.22738853503184714,0.1751592356687898,0.17023586302180993,0.2544162636928846,0.985474006116208,0.6488361683079678,0.24076433121019108,9.223552703448318,11.018907792853605,23.32454128440367,38.86433121019108,221.88,0.9286624203821656,0.1549393072140531,0.47863416559755256,0.3860787824529991,0.2188887792361591
UIS,2504,2024-12-31,1872.3,545.4,30.0,59.1,376.5,537.1,-283.4,7.7,440.568,337.1,448.4,982.4,628.0,517.1,0.01602307322544464,-0.1058574453069866,0.10836083608360837,0.05500550055005501,0.20108956897933025,0.2868664209795439,-1.8952011291460835,1.5643312101910827,0.014118078474514118,7.534922900608107,6.088064803496459,-1.5545800988002823,0.8077887788778878,14.685599999999999,0.3819215254858819,0.2912994712385836,0.23949153447631255,0.5995222929936306,0.2761843721625808
RAMP,2536,2024-12-31,1253.213,195.412,11.21,14.822,401.683,38.148,957.707,42.735,1996.9186100000002,50.598,524.861,643.807,231.624,28.757,0.00894500775207407,0.011705041312217621,0.0758499989765214,0.05736597547745277,0.32052252889173666,0.030440156621420304,0.03983264192493111,2.7795349359306463,0.2186917896546783,7.133465932468217,7.59936057645106,2.085103909650864,10.21901730702311,178.13725334522746,0.7410701492231798,0.15592880061090972,0.41881228490288563,1.7342028459917798,0.022946618013059233
CTS,2577,2024-12-31,766.112,126.46,11.563,18.745,94.334,117.092,530.85,5.67,1583.27098,70.582,363.768,244.277,97.553,112.373,0.01509309343803517,0.021782047659414147,0.14822868891349045,0.0914360272022774,0.12313343218746085,0.1528392715425421,0.22057455024959968,2.5040439555933696,0.044836311877273445,6.641328373151568,7.3672482265324915,2.9825204483375716,12.519934999209237,136.9256231081899,0.4418630396963467,0.16506724865293848,0.4748235244977236,0.9670025524586635,0.14667959776116288
TLS,2578,2024-12-31,158.235,26.372,-9.33,-10.094,54.578,10.145999999999999,127.137,1.404,248.0013,13.877,48.332,91.418,22.135,8.059,-0.05896293487534363,-0.07338540314778547,-0.3827544365235856,-0.3537843166995298,0.34491736973488796,0.06411982178405536,0.07980367634913518,4.130020329794443,0.053238283027453356,5.064081269801882,5.513433988086727,1.950661884423889,9.403962536023053,-26.581061093247587,0.4737979675413317,0.16666350680949218,0.30544443391158715,2.4656878247119947,0.0509305779378772
CACI,2596,2024-12-31,8548.499,2099.809,109.938,194.598,175.707,3438.28,3728.373,0.0,9059.0252,1402.225,6081.304,1633.395,1071.477,3369.53,0.012860503346844868,0.029486856599379944,0.09267414321969283,0.052356190491611374,0.02055413470832716,0.4022086216539302,0.9221931389375473,1.5244330956240777,0.0,9.05351099096357,9.11151679942941,2.429752924398927,4.314213911836743,82.40121886881697,0.332213072712804,0.24563481846345192,0.7113885139367742,0.1639857878423895,0.39416627410262317
CMTL,3358,2024-10-31,793.203,115.8,-148.407,-29.581,29.644,242.486,299.064,3.713,107.48568,98.389,392.86,306.556,383.313,28.726,-0.18709838465058756,-0.4962382633817511,-0.25544905008635577,-1.2815803108808292,0.03737252632680411,0.305704844787526,0.8108164138779659,0.7997537260672087,0.03206390328151986,6.676079178786749,4.677357629392245,0.35940694968301096,0.9282010362694301,-0.7242628716974266,0.15035405872193439,0.14599037068694898,0.4952830486016821,0.07733627609812346,0.036215193336384253
SSTK,3382,2024-12-31,1309.156,250.306,-1.429,16.731,111.251,310.786,518.35,18.897,1058.4259000000002,90.144,818.145,255.958,625.286,142.963,-0.0010915429482811828,-0.0027568245394038776,0.0668421851653576,-0.005709012169105015,0.08497917742423364,0.23739416845662398,0.5995678595543551,0.4093454835067473,0.07549559339368613,7.177137933751835,6.964538083400809,2.041913571910871,4.228527881872589,-740.6759272218336,0.6398648054780948,0.1911964655090761,0.6249408015545894,0.17792018372392795,0.1092024174353553
DBD,3946,2024-12-31,3543.5,988.9,5.6,71.2,328.2,1067.4,929.8,23.9,1617.3140799999999,714.2,1365.0,1667.9,1266.3,1019.4,0.0015803584027091857,0.00602280060228006,0.07199919102032562,0.0056628577206997675,0.09262029067306335,0.30122759983067593,1.1479888147988817,1.3171444365474216,0.024168267772272222,8.17287021825031,7.388522076955641,1.7394214669821466,1.6354677722722215,288.8060857142857,0.2777833956921832,0.2790743615069846,0.3852123606603641,0.2591802890310353,0.28768167066459716
DIOD,3969,2024-12-31,2386.281,339.298,8.241,8.308,322.188,91.702,1795.301,33.207,2857.35611,198.539,248.952,1224.153,375.596,48.274,0.0034534910180318242,0.004590316609860965,0.024485850196582355,0.024288383662738947,0.13501678972426132,0.03842883549757971,0.0510788998613603,3.259228000298193,0.09786971924385054,7.777491366050388,7.957652039195501,1.5915749559544612,8.421376223850421,346.72443999514627,0.414853609511403,0.14218694277832325,0.1043263555297972,0.8578046624564691,0.020229805291162275
ERIC,4439,2024-12-31,26417.163,5145.832,471.027,817.471,5098.767,4114.36,8518.937,927.138,26861.336320000002,2671.947,6200.454,13942.256,11915.345,3367.223,0.017830340070960685,0.05529175764534941,0.15886080229591637,0.09153563505376777,0.19300963544041425,0.1557457172823592,0.48296636070908844,1.1701093002342777,0.18017261348602132,10.181769191538447,10.198443220142726,3.1531324060736687,5.220018127292146,57.0271689733285,0.48075510432520924,0.1947912423449861,0.23471309163667572,0.42791601921723627,0.12746346002407602
FELE,4881,2024-12-31,1820.606,485.745,33.655,46.394,220.54,191.618,1266.099,21.5,4455.0242,307.257,551.474,964.191,433.727,54.926,0.018485603145326338,0.026581649618236808,0.09551101915614159,0.06928532460447354,0.12113549005111485,0.1052495707473226,0.1513451949650067,2.223036610586844,0.04426190696764763,7.506924691682587,8.401787771988921,3.5187013021888496,9.17152868274506,132.373323428911,0.367452058178674,0.26680402019986754,0.3029068343178041,0.5084765301675939,0.030169075571540468
HUBB,5764,2024-12-31,6679.1,1334.3,198.2,265.2,345.0,1719.6,3268.3,0.0,22519.5264,826.4,3587.1,2089.3,1274.2,1560.0,0.029674656765133024,0.06064314781384817,0.19875590197107096,0.14854230682755,0.05165366591307212,0.2574598374032429,0.5261450907199461,1.6396954952126825,0.0,8.806738526914796,10.022138051837107,6.890287427714713,16.877408678707937,113.62021392532795,0.3806490294536461,0.19977242442844095,0.5370633768022637,0.27075812274368233,0.23356440238954349
INTC,6008,2024-12-31,196485.0,14260.0,-126.0,469.0,22062.0,50471.0,98641.31920000058,3856.7544000000175,86816.5,6094.0,28384.0,47324.0,35666.0,46561.0,-0.0006412703259790824,-0.0012773551795726517,0.032889200561009815,-0.008835904628330995,0.11228338041071838,0.25686948113087515,0.5116618513350104,1.3268659227275277,0.2704596353436197,12.18834137149986,11.371551974749114,0.8801230630743581,6.088113604488078,-689.0198412698413,0.5726507713884993,0.07257551467033106,0.14445886454436727,0.6185723097627993,0.23696974323739725
IBM,6066,2024-12-31,137175.0,17553.0,2914.0,3703.0,14804.0,58395.0,27307.0,1967.0,203626.3307,6410.0,67258.38355610055,34482.0,33142.0,52539.0,0.021242937853107345,0.10671256454388985,0.21096108927248902,0.16601150800432973,0.10792053945689813,0.42569710224166213,2.1384626652506684,1.0404320801400035,0.11206061641884578,11.829012761927176,12.224041880935172,7.45692791958106,11.600656907651114,69.87863098833219,0.6348202586452458,0.1279606342263532,0.4903107968368912,0.446683965964637,0.38300710770913066
KLIC,6509,2024-12-31,1251.445,166.124,81.642,11.491,538.325,37.574,972.744,37.808,2498.22306,75.273,111.213,1013.889,169.151,30.526,0.06523818465853473,0.08392958476228071,0.06917122149719486,0.49145216825985405,0.43016273188194454,0.030024491687609123,0.03862681239874006,5.9939876205284035,0.2275890298812935,7.132054162642835,7.823334982135272,2.5682225333695192,15.038303074811585,30.59972881605056,0.5468866629746455,0.13274574591771912,0.08886766897466529,3.182511483822147,0.02439260215191239
MEI,7291,2024-10-31,1375.1,292.6,-1.6,9.5,97.0,369.7,738.3,0.0,307.598,226.2,416.4,612.9,222.6,361.9,-0.0011635517416915134,-0.00216714072870107,0.032467532467532464,-0.0054682159945317835,0.070540324340048,0.2688531743145953,0.500744954625491,2.7533692722371965,0.0,7.226281734728899,5.728793735659766,0.41663009616686986,1.0512576896787422,-192.24875,0.22693096377306912,0.21278452476183554,0.30281434077521635,0.435759209344115,0.2631808595738492
MU,7343,2024-11-30,71461.0,8709.0,1870.0,2172.0,7588.0,14443.0,46797.0,888.0,109116.3,3331.0,1569.0,24493.0,9015.0,13840.0,0.026168119673668156,0.039959826484603715,0.24939717533585945,0.21472040417958435,0.10618379255817859,0.20211024195015462,0.308630895142851,2.716916250693289,0.10196348604891492,11.176907125322197,11.60016956487778,2.3316943393807295,12.529142266620738,58.35096256684492,0.6175221035710184,0.12187067071549516,0.021956031961489483,0.8417082640044371,0.19367207287891297
MSI,7585,2024-12-31,14595.0,3011.0,611.0,785.0,2102.0,6551.0,1703.0,246.0,77238.633,1407.0,4775.0,6479.0,5055.0,6102.0,0.04186365193559438,0.35877862595419846,0.2607107273331119,0.2029226170707406,0.14402192531688934,0.4488523466940733,3.8467410452143276,1.2817012858555885,0.08170043175024909,9.588434283288215,11.254655038301944,45.354452730475636,25.65215310528064,126.41347463175123,0.5327133842577216,0.20630352860568688,0.32716683795820484,0.4158259149357072,0.41808838643371016
VYX,7648,2024-12-31,4452.0,682.0,-11.0,58.0,724.0,1400.0,1209.0,28.0,1966.664,440.0,1912.0,1671.0,1420.0,1349.0,-0.0024707996406109615,-0.009098428453267164,0.08504398826979472,-0.016129032258064516,0.16262353998203055,0.31446540880503143,1.1579818031430935,1.1767605633802818,0.04105571847507331,8.401108712395436,7.584093985292578,1.6266865177832919,2.8836715542521993,-178.78763636363635,0.3548387096774194,0.1531895777178796,0.42946990116801437,0.5098591549295775,0.3030098831985624
NSSC,7685,2024-12-31,202.684,42.933,10.467,11.215,99.195,243.167,174.227,3.107,1294.4195600000003,17.86,3.445,164.732,21.817,5.417,0.05164196483195516,0.060076796363365034,0.26122097221251717,0.24379847669624766,0.48940715596692386,0.17274376936501826,0.2583800287356322,7.550625658889857,0.07236857429017307,5.31164811595668,7.165817657438509,7.429500364467048,30.149757995015495,123.66672016814753,0.584002981389607,0.21182234414161946,0.01699690158078585,4.546683778704679,0.026726332616289396
AGYS,8599,2024-12-31,443.861,69.561,3.83,7.748,60.761,60.9,256.791,14.957,3682.8750200000004,25.543,202.083,131.21,114.95,55.469,0.00862882749329182,0.014914852934877001,0.11138425267031812,0.05505958798752174,0.13689195491381312,0.13720511601605007,0.23715784431697373,1.141452805567638,0.21501991058207903,6.0955114503546906,8.211448981576588,14.341916266535822,52.944538175126866,961.5861671018278,0.6327971133249953,0.15671798153025385,0.455284424628431,0.5285863418877773,0.12496930345310807
