costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,datacqtr,datafqtr,scfq,acchgq,acomincq,acoq,actq,altoq,ancq,anoq,aociderglq,aociotherq,aocipenq,aocisecglq,aol2q,aoq,apq,aqaq,aqdq,aqepsq,aqpl1q,aqpq,arcedq,arceepsq,arceq,atq,aul3q,billexceq,capr1q,capr2q,capr3q,capsftq,capsq,ceiexbillq,ceqq,cheq,chq,cibegniq,cicurrq,ciderglq,cimiiq,ciotherq,cipenq,ciq,cisecglq,citotalq,cogsq,csh12q,cshfd12,cshfdq,cshiq,cshopq,cshoq,cshprq,cstkcvq,cstkeq,cstkq,dcomq,dd1q,deracq,deraltq,derhedglq,derlcq,derlltq,diladq,dilavq,dlcq,dlttq,doq,dpacreq,dpactq,dpq,dpretq,drcq,drltq,dteaq,dtedq,dteepsq,dtepq,dvintfq,dvpq,epsf12,epsfi12,epsfiq,epsfxq,epspi12,epspiq,epspxq,epsx12,esopctq,esopnrq,esoprq,esoptq,esubq,fcaq,ffoq,finacoq,finaoq,finchq,findlcq,findltq,finivstq,finlcoq,finltoq,finnpq,finreccq,finrecltq,finrevq,finxintq,finxoprq,fyr,gdwlamq,gdwlia12,gdwliaq,gdwlid12,gdwlidq,gdwlieps12,gdwliepsq,gdwlipq,gdwlq,glaq,glcea12,glceaq,glced12,glcedq,glceeps12,glceepsq,glcepq,gldq,glepsq,glivq,glpq,hedgeglq,ibadj12,ibadjq,ibcomq,ibmiiq,ibq,icaptq,intaccq,intanoq,intanq,invfgq,invoq,invrmq,invtq,invwipq,ivaeqq,ivaoq,ivltq,ivstq,lcoq,lctq,lltq,lnoq,lol2q,loq,loxdrq,lqpl1q,lseq,ltmibq,ltq,lul3q,mibnq,mibq,mibtq,miiq,msaq,ncoq,niitq,nimq,niq,nopiq,npatq,npq,nrtxtdq,nrtxtepsq,nrtxtq,obkq,oepf12,oeps12,oepsxq,oiadpq,oibdpq,opepsq,optdrq,optfvgrq,optlifeq,optrfrq,optvolq,piq,pllq,pnc12,pncd12,pncdq,pnceps12,pncepsq,pnciapq,pnciaq,pncidpq,pncidq,pnciepspq,pnciepsq,pncippq,pncipq,pncpd12,pncpdq,pncpeps12,pncpepsq,pncpq,pncq,pncwiapq,pncwiaq,pncwidpq,pncwidq,pncwiepq,pncwiepsq,pncwippq,pncwipq,pnrshoq,ppegtq,ppentq,prcaq,prcd12,prcdq,prce12,prceps12,prcepsq,prcpd12,prcpdq,prcpeps12,prcpepsq,prcpq,prcraq,prshoq,pstknq,pstkq,pstkrq,rcaq,rcdq,rcepsq,rcpq,rdipaq,rdipdq,rdipepsq,rdipq,recdq,rectaq,rectoq,rectq,rectrq,recubq,req,retq,reunaq,revtq,rllq,rra12,rraq,rrd12,rrdq,rreps12,rrepsq,rrpq,rstcheltq,rstcheq,saleq,seqoq,seqq,seta12,setaq,setd12,setdq,seteps12,setepsq,setpq,spce12,spced12,spcedpq,spcedq,spceeps12,spceepsp12,spceepspq,spceepsq,spcep12,spcepd12,spcepq,spceq,spidq,spiepsq,spioaq,spiopq,spiq,sretq,stkcoq,stkcpaq,teqq,tfvaq,tfvceq,tfvlq,tieq,tiiq,tstknq,tstkq,txdbaq,txdbcaq,txdbclq,txdbq,txdiq,txditcq,txpq,txtq,txwq,uacoq,uaoq,uaptq,ucapsq,ucconsq,uceqq,uddq,udmbq,udoltq,udpcoq,udvpq,ugiq,uinvq,ulcoq,uniamiq,unopincq,uopiq,updvpq,upmcstkq,upmpfq,upmpfsq,upmsubpq,upstkcq,upstkq,urectq,uspiq,usubdvpq,usubpcvq,utemq,wcapq,wdaq,wddq,wdepsq,wdpq,xaccq,xidoq,xintq,xiq,xoprq,xopt12,xoptd12,xoptd12p,xoptdq,xoptdqp,xopteps12,xoptepsp12,xoptepsq,xoptepsqp,xoptq,xoptqp,xrdq,xsgaq,afudccy,cogsy,xrdy,prccq,prchq,prclq
A,USD,STD,INDL,C,SWKS,2024-09-30,001327,2024Q3,2024Q4,7,0.0000,-5.6000,478.5000,3341.0000,381.8000,4942.3000,0.0000,0.0000,0.0000,1.9000,0.0000,338.5000,3470.4000,171.8000,-0.1300,0.0000,0.0000,1235.6000,-0.2000,,,,8283.3000,0.0000,,,,,,269.4000,,6336.7000,1562.7000,1368.6000,60.5000,0.0000,0.0000,0.0000,0.0000,-0.1000,60.6000,0.2000,60.6000,479.7000,160.1000,161.5000,161.4000,159.9000,0.0170,159.9000,159.8000,0.2500,0.0000,40.0000,0.0000,20.2000,,,,,,0.0000,60.5000,20.2000,1180.2000,0.0000,,2929.8000,115.4000,,0.0000,0.0000,,,,,,0.0000,3.6900,3.6900,0.3700,0.3700,3.7200,0.3800,0.3800,3.7200,0.0000,0.0000,0.0000,0.0000,,-5.2000,,,,,,,,,,,,,,,,9,,,,,,,,,2176.7000,,,,,,,,,,,,,,596.0000,60.5000,60.5000,60.5000,60.5000,7516.9000,,900.5000,3077.2000,234.0000,0.0000,30.3000,784.8000,520.5000,,,11.4000,194.1000,358.2000,602.7000,1343.9000,0.0000,0.0000,151.8000,151.8000,0.0000,8283.3000,1946.6000,1946.6000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,,,,60.5000,5.9000,,0.0000,,,,,4.4900,4.5300,1.0400,195.0000,310.4000,1.0500,,,,,,58.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,4401.7000,1471.9000,,,,,,,,,,,,111.1400,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,-131.8000,,-7.3000,6.2000,515.0000,508.8000,,6027.3000,,6032.9000,1025.0000,,,,,,,,,,,1025.0000,0.0000,6336.7000,,,,,,,,,,,,,,,,,,,,,,,,-135.6000,,38.2000,161.4000,6336.7000,1574.1000,,0.0000,,,0.0000,0.0000,303.5000,0.0000,0.0000,11.9000,-99.6000,11.9000,52.5000,-2.1000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2738.3000,,,,,320.1000,0.0000,6.9000,0.0000,714.6000,,,,,,,,,,,,295.4000,234.9000,,1999.7000,779.6000,98.770000000000,120.860000000000,95.000000000000
A,USD,STD,INDL,C,SWKS,2024-12-31,001327,2024Q4,2025Q1,7,0.0000,-5.6000,484.9000,3443.8000,375.7000,4887.3000,0.0000,0.0000,0.0000,1.9000,0.0000,294.1000,3452.0000,147.2000,-0.0650,0.0000,0.0000,1460.7000,-0.1000,,,,8331.1000,0.0000,,,,,,283.7000,,6400.7000,1739.2000,1602.5000,162.0000,0.0000,0.0000,0.0000,0.0000,0.0000,161.9000,-0.1000,161.9000,502.9000,160.2500,161.4000,161.4000,160.7000,0.4280,160.7000,160.4000,0.2500,0.0000,40.2000,0.0000,19.3000,,,,,,0.0000,162.0000,19.3000,1173.7000,0.0000,,2971.1000,116.0000,,0.0000,0.0000,,,,,,0.0000,3.2600,3.2600,1.0000,1.0000,3.2800,1.0100,1.0100,3.2800,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,9,,,,,,,,,2176.7000,,,,,,,,,,,,,,526.7000,162.0000,162.0000,162.0000,162.0000,7574.4000,,884.0000,3060.7000,219.4000,0.0000,31.1000,699.7000,449.2000,,,15.6000,136.7000,338.7000,579.6000,1350.8000,0.0000,0.0000,177.1000,177.1000,0.0000,8331.1000,1930.4000,1930.4000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2000,,,,162.0000,16.1000,,0.0000,,,,,4.0600,4.0800,1.0700,195.5000,311.5000,1.0800,,,,,,190.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,4406.4000,1435.3000,,,,,,,,,,,,89.4200,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,-7.3000,,520.0000,520.0000,,6076.8000,,6082.4000,1068.5000,,,,,,,,,,,1068.5000,0.0000,6400.7000,,,,,,,,,,,,,,,,,,,,,,,,-14.4000,,51.1000,,6400.7000,1754.8000,,0.0000,,,0.0000,0.0000,303.5000,0.0000,0.0000,,,,74.4000,28.4000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864.2000,,,,,297.2000,0.0000,6.8000,0.0000,757.0000,,,,,,,,,,,,176.4000,254.1000,,502.9000,176.4000,88.680000000000,101.500000000000,82.130000000000
A,USD,STD,INDL,C,ADI,2024-07-31,001632,2024Q2,2024Q3,7,0.0000,-169.7180,342.1430,5442.9360,2872.2080,43175.4380,0.0000,-85.2910,0.0000,-12.7300,0.0000,913.6030,39779.6900,424.7350,,,,718.4390,,,,,48618.3740,0.0000,,,,,,25101.7810,,35190.1090,2545.6990,2106.0320,392.2320,0.1980,7.4260,0.0000,0.0000,-0.1410,399.7150,0.0000,399.7150,658.4170,496.3260,499.1228,498.7940,496.4930,0.5510,496.4930,496.3380,0.1667,0.0000,82.7500,0.0000,899.2510,7.5140,,,21.9010,,0.0000,392.2320,1446.6940,6655.7230,0.0000,,,530.3070,,0.0000,0.0000,,,,,,0.0000,3.3200,3.3200,0.7900,0.7900,3.3300,0.7900,0.7900,3.3300,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,10,,,,,,,,,26909.7750,,,,,,,,,,,,,,1655.6310,392.2320,392.2320,392.2320,392.2320,41845.8320,,9997.7070,36907.4820,297.0170,0.0000,109.3070,1427.9360,1021.6120,,,,439.6670,956.8530,3226.6290,10201.6360,0.0000,21.9010,802.8980,802.8980,0.0000,48618.3740,13428.2650,13428.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,392.2320,16.8510,,547.4430,,,,,3.5400,3.5700,0.8100,503.6010,1033.9080,0.8100,,,,,,422.9910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,3395.7480,,,,,,,,,,,,221.9000,0.0000,0.0000,0.0000,0.0000,-7.9830,-0.0200,-0.0200,-12.2820,0.0000,0.0000,0.0000,0.0000,,-71.6970,0.0000,1127.1580,1127.1580,,10005.5780,,10175.2960,2312.2090,,,,,,,,,97.5860,,2312.2090,0.0000,35190.1090,,,,,,,,,,,,,,,,,,,,,,,,-12.2820,,64.0510,,35190.1090,1632.0420,0.0000,21.9010,,,0.0000,0.0000,2105.4300,0.0000,0.0000,2743.0150,,2743.0150,398.3470,30.7590,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.3070,,,,,,0.0000,85.1790,0.0000,1278.3010,,,,,,,,,,,,362.6710,619.8840,,2001.9120,1108.9600,231.380000000000,244.140000000000,191.592800000000
A,USD,STD,INDL,C,ADI,2024-10-31,001632,2024Q3,2024Q4,7,0.0000,-185.2560,337.4720,5484.6540,2590.2860,42743.6230,0.0000,-85.2020,0.0000,-28.5430,0.0000,379.1400,39085.5250,487.4570,,,,685.2580,,,,,48228.2770,0.0000,,,,,,25082.2430,,35176.3170,2363.1640,1991.3420,478.0720,0.1860,0.0890,0.0000,0.0000,-15.8130,462.5340,0.0000,462.5340,694.3700,496.1660,498.6970,498.7220,496.2970,0.4220,496.2970,496.4320,0.1667,0.0000,82.7180,0.0000,467.7660,7.3180,,,53.1340,,0.0000,478.0720,1015.5040,6952.8830,0.0000,,3772.4380,520.4610,,,0.0000,,,,,,0.0000,3.2800,3.2800,0.9600,0.9600,3.3000,0.9600,0.9600,3.3000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,10,,,,,,,,,26909.7750,,,,,,,,,,,,,,1635.2730,478.0720,478.0720,478.0720,478.0720,42129.2000,,9585.4640,36495.2390,307.0570,0.0000,93.6080,1447.6870,1047.0220,,,,371.8220,1037.9400,2988.2800,10063.6800,0.0000,53.1340,486.4050,486.4050,0.0000,48228.2770,13051.9600,13051.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,478.0720,29.7400,,547.7380,,,,,3.3400,3.3600,0.9600,572.2510,1092.7120,0.9700,,,,,,516.3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,7430.5360,3658.0980,,,,,,,,,,,,223.9800,0.0000,0.0000,0.0000,0.0000,-1.8580,0.0000,0.0000,-2.8590,0.0000,0.0000,0.0000,0.0000,,-71.5110,0.0000,1336.3310,1336.3310,,10011.3560,,10196.6120,2443.2050,,,,,,,,,,,2443.2050,0.0000,35176.3170,,,,,,,,,,,,,,,,,,,,,,,,-2.8590,,70.4480,,35176.3170,1064.3980,0.0000,53.1340,,,0.0000,0.0000,2083.7520,0.0000,0.0000,2624.3920,-367.5630,2624.3920,447.3790,38.2560,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.3740,,,,,492.3630,0.0000,82.8040,0.0000,1350.4930,,,,,,,,,,,,378.9030,656.1230,,2696.2820,1487.8630,223.110000000000,237.030000000000,198.730000000000
A,USD,STD,INDL,C,AAPL,2024-09-30,001690,2024Q3,2024Q4,7,0.0000,-7172.0000,14287.0000,152987.0000,64600.0000,211993.0000,0.0000,-1267.0000,0.0000,0.0000,0.0000,128056.0000,156079.0000,68960.0000,,,,1395.0000,,,,,364980.0000,0.0000,,,,,,83275.8490,,56950.0000,65171.0000,27343.0000,14736.0000,482.0000,-1822.0000,0.0000,0.0000,0.0000,15980.0000,2584.0000,15980.0000,48140.0000,15343.7830,15408.0950,15242.8530,15116.7860,112.2600,15116.7860,15171.9900,0.0000,0.0000,0.1510,0.0000,12544.0000,,,,,,0.0000,14736.0000,22511.0000,96548.0000,0.0000,,73448.0000,2911.0000,,8249.0000,4551.0000,,,,,,0.0000,6.0800,6.0800,0.9700,0.9700,6.1100,0.9700,0.9700,6.1100,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,93736.0000,14736.0000,14736.0000,14736.0000,14736.0000,153498.0000,,,0.0000,,,,7286.0000,,,,91479.0000,37828.0000,58320.0000,176392.0000,131638.0000,0.0000,0.0000,34793.0000,30242.0000,0.0000,364980.0000,308030.0000,308030.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3150.0000,,,,14736.0000,19.0000,,9967.0000,-0.6700,-0.6800,-10246.0000,,6.7500,6.7800,1.6400,29591.0000,32502.0000,1.6500,,,,,,29610.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,129362.0000,55914.0000,,,,,,,,,,,,222.7000,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,-2755.0000,32833.0000,66243.0000,33410.0000,,-26326.0000,,-19154.0000,94930.0000,,,,,,,,,,15800.0000,94930.0000,0.0000,56950.0000,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,2858.0000,2170.0000,56950.0000,129451.0000,0.0000,0.0000,,,0.0000,0.0000,19499.0000,0.0000,0.0000,297.0000,-3031.0000,297.0000,26601.0000,14874.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23405.0000,,,,,,0.0000,,0.0000,62428.0000,,,,,,,,,,,,7765.0000,14288.0000,,198907.0000,31370.0000,233.000000000000,237.230000000000,196.000000000000
A,USD,STD,INDL,C,AAPL,2024-12-31,001690,2024Q4,2025Q1,7,0.0000,-6789.0000,13248.0000,133240.0000,77183.0000,210845.0000,0.0000,1168.0000,0.0000,0.0000,0.0000,112659.0000,164776.0000,61910.0000,,,,1636.0000,,,,,344085.0000,0.0000,,,,,,84767.8500,,66758.0000,53775.0000,30173.0000,36330.0000,-625.0000,2435.0000,0.0000,0.0000,0.0000,36713.0000,-1427.0000,36713.0000,62945.0000,15236.7728,15301.6505,15150.8650,15040.7310,99.7900,15040.7310,15081.7240,0.0000,0.0000,0.1500,0.0000,10848.0000,,,,,,0.0000,36330.0000,12843.0000,83956.0000,0.0000,,74546.0000,3080.0000,,8461.0000,4739.0000,,,,,,0.0000,6.3000,6.3000,2.4000,2.4000,6.3100,2.4100,2.4100,6.3100,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,96150.0000,36330.0000,36330.0000,36330.0000,36330.0000,150714.0000,,,0.0000,4119.0000,0.0000,2792.0000,6911.0000,0.0000,,,87593.0000,23602.0000,69612.0000,144365.0000,132962.0000,0.0000,0.0000,49006.0000,44267.0000,0.0000,344085.0000,277327.0000,277327.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4577.0000,,,,36330.0000,-248.0000,,1995.0000,,,,,6.9700,6.9900,2.4000,42832.0000,45912.0000,2.4100,,,,,,42584.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,120615.0000,46069.0000,,,,,,,,,,,,233.4400,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,-3380.0000,29667.0000,59306.0000,29639.0000,,-18010.0000,,-11221.0000,124300.0000,,,,,,,,,,3426.0000,124300.0000,0.0000,66758.0000,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,3286.0000,1954.0000,66758.0000,114295.0000,0.0000,0.0000,,,0.0000,0.0000,,0.0000,0.0000,,,,,6254.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11125.0000,,,,,,0.0000,,0.0000,78388.0000,,,,,,,,,,,,8268.0000,15443.0000,,62945.0000,8268.0000,250.420000000000,260.100000000000,219.710000000000
A,USD,STD,INDL,C,AMAT,2024-07-31,001704,2024Q2,2024Q3,7,0.0000,-146.0000,706.0000,20671.0000,2455.0000,12976.0000,0.0000,-74.0000,0.0000,-71.0000,0.0000,3782.0000,9430.0000,1470.0000,0.0000,0.0000,0.0000,6789.0000,-1.0000,,,,33647.0000,0.0000,2742.0000,,,,,9428.0000,324.0000,18840.0000,9103.0000,8288.0000,1705.0000,0.0000,8.0000,0.0000,0.0000,0.0000,1731.0000,18.0000,1731.0000,3478.0000,830.7500,836.7500,833.0000,2028.4040,3.9000,824.4040,826.0000,0.0040,0.0000,8.0000,0.0000,175.0000,,,-2.0000,,,0.0000,1705.0000,274.0000,6397.0000,0.0000,,3857.0000,95.0000,,2742.0000,0.0000,,,,,,0.0000,8.9000,8.9000,2.0500,2.0500,8.9700,2.0600,2.0600,8.9700,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,10,,,,,,,,,3732.0000,,,,,,,,,,,-41.0000,,,7450.0000,1705.0000,1705.0000,1705.0000,1705.0000,25237.0000,,262.0000,3994.0000,1208.0000,0.0000,3415.0000,5568.0000,945.0000,,,2981.0000,815.0000,5119.0000,7228.0000,7579.0000,0.0000,0.0000,1182.0000,1182.0000,0.0000,33647.0000,14807.0000,14807.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.0000,,,,1705.0000,81.0000,,99.0000,,,,,8.9200,8.9900,2.0500,1943.0000,2038.0000,2.0600,,,,,,1960.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,7403.0000,3546.0000,,,,,,,,,,,,222.8200,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,29.0000,13.0000,,5294.0000,5294.0000,324.0000,48101.0000,,48247.0000,6778.0000,,,,,,,,,90.0000,,6778.0000,0.0000,18840.0000,,,,,,,,,,,,,,,,,,,,,,,,-1.0000,,132.0000,140.0000,18840.0000,10571.0000,0.0000,0.0000,,,1204.0000,38697.0000,2107.0000,0.0000,0.0000,,,,365.0000,255.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13443.0000,,,,,2047.0000,0.0000,63.0000,0.0000,4740.0000,,,,,,,,,,,,836.0000,1262.0000,,10287.0000,2375.0000,212.200000000000,255.890000000000,192.690000000000
A,USD,STD,INDL,C,AMAT,2024-10-31,001704,2024Q3,2024Q4,7,0.0000,-168.0000,825.0000,21220.0000,2707.0000,13189.0000,0.0000,-87.0000,0.0000,-87.0000,0.0000,3826.0000,9475.0000,1570.0000,0.0000,0.0000,0.0000,6919.0000,-3.0000,,,,34409.0000,0.0000,2849.0000,,,,,9660.0000,269.0000,19001.0000,9471.0000,8022.0000,1731.0000,0.0000,-13.0000,0.0000,0.0000,-16.0000,1709.0000,7.0000,1709.0000,3597.0000,827.0000,834.0000,828.0000,2029.0000,7.6000,818.0000,822.0000,0.0100,0.0000,8.0000,0.0000,87.0000,,,,,,0.0000,1731.0000,886.0000,5719.0000,0.0000,,3770.0000,110.0000,,2849.0000,0.0000,,,,,,0.0000,8.6100,8.6100,2.0900,2.0900,8.6800,2.1100,2.1100,8.6800,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,10,,,,,,,,,3732.0000,,,,,,,,,,,-274.0000,,,7177.0000,1731.0000,1731.0000,1731.0000,1731.0000,24720.0000,,249.0000,3981.0000,1120.0000,0.0000,3422.0000,5421.0000,879.0000,,,2787.0000,1449.0000,5477.0000,8468.0000,6940.0000,0.0000,0.0000,1210.0000,1210.0000,0.0000,34409.0000,15408.0000,15408.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.0000,,,,1731.0000,-85.0000,,799.0000,,,,15873.0000,8.6200,8.6900,2.0900,2052.0000,2162.0000,2.1100,,,,,,1895.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,7484.0000,3714.0000,,,,,,,,,,,,190.8900,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,13.0000,,5503.0000,5503.0000,269.0000,49483.0000,,49651.0000,7045.0000,,,,,,,,,91.0000,,7045.0000,0.0000,19001.0000,,,,,,,,,,,,,,,,,,,,,,,,-6.0000,,141.0000,75.0000,19001.0000,10745.0000,0.0000,0.0000,,,1211.0000,40150.0000,2393.0000,0.0000,0.0000,11.0000,-678.0000,11.0000,535.0000,164.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12752.0000,-1.9500,0.0000,0.0000,-3.0000,2301.0000,0.0000,66.0000,0.0000,4883.0000,,,,,,,,,,,,858.0000,1286.0000,,13884.0000,3233.0000,181.580000000000,215.700000000000,171.610000000000
A,USD,STD,INDL,C,ADSK,2024-07-31,001878,2024Q2,2024Q2,7,0.0000,-249.0000,466.0000,2758.0000,1628.0000,7202.0000,0.0000,20.0000,0.0000,-24.0000,0.0000,955.0000,6881.0000,174.0000,-8.4500,-0.0400,-0.0400,572.0000,-13.0000,,,,9960.0000,0.0000,3228.0000,,,,,4006.8500,,2474.0000,1890.0000,1513.0000,282.0000,16.0000,-5.0000,0.0000,0.0000,0.0000,296.0000,3.0000,296.0000,107.0000,214.5000,216.5000,217.0000,215.0000,0.4710,215.0000,216.0000,0.0100,0.0000,2.1500,0.0000,367.0000,12.0000,,1.0000,10.0000,,0.0000,282.0000,367.0000,2236.0000,0.0000,,486.0000,46.0000,,3228.0000,464.0000,,,,,,0.0000,4.8900,4.8900,1.3000,1.3000,4.9300,1.3100,1.3100,4.9300,0.0000,0.0000,0.0000,0.0000,,2.0000,,,,,,,,,,,,,,,,1,,,,,,,,,4253.0000,,,,,,,,,,,-6.0000,,,1057.0000,282.0000,282.0000,282.0000,282.0000,4710.0000,,609.0000,4862.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,391.0000,377.0000,3748.0000,4337.0000,3149.0000,0.0000,10.0000,877.0000,413.0000,0.0000,9960.0000,7486.0000,7486.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0000,,,,282.0000,9.0000,,0.0000,,,,,5.1100,5.1700,1.3500,356.0000,402.0000,1.3500,,,,,,352.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,807.0000,321.0000,,,,,,,,,,,,244.6300,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,-266.0000,0.0000,402.0000,402.0000,,-1535.0000,,-1286.0000,1505.0000,,,,,,,,,104.0000,12.0000,1505.0000,0.0000,2474.0000,,,,,,,,,,,,,,,,,,,,,,,,-13.0000,,170.0000,168.0000,2474.0000,1527.0000,,10.0000,,,0.0000,0.0000,1129.0000,0.0000,0.0000,36.0000,,36.0000,48.0000,70.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1579.0000,,,,,520.0000,0.0000,,0.0000,1103.0000,,,,,,,,,,,,368.0000,996.0000,,215.0000,714.0000,247.520000000000,256.050000000000,195.320000000000
A,USD,STD,INDL,C,ADSK,2024-10-31,001878,2024Q3,2024Q3,7,0.0000,-260.0000,472.0000,2899.0000,1660.0000,7234.0000,0.0000,8.0000,0.0000,-24.0000,0.0000,933.0000,6934.0000,217.0000,-7.1500,-0.0300,-0.0300,485.0000,-11.0000,,,,10133.0000,0.0000,3277.0000,,,,,4097.8500,,2616.0000,1725.0000,1437.0000,275.0000,3.0000,-12.0000,0.0000,0.0000,0.0000,264.0000,-2.0000,264.0000,112.0000,214.7500,216.7500,217.0000,215.0000,1.1900,215.0000,215.0000,0.0100,0.0000,2.1500,0.0000,360.0000,22.0000,0.0000,4.0000,10.0000,0.0000,0.0000,275.0000,360.0000,2218.0000,0.0000,,453.0000,48.0000,,3277.0000,381.0000,,,,,,0.0000,5.0400,5.0400,1.2700,1.2700,5.0800,1.2800,1.2800,5.0800,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,,,,,,,,,,,,1,,,,,,,,,4256.0000,,,,,,,,,,,-3.0000,,,1091.0000,275.0000,275.0000,275.0000,275.0000,4834.0000,,594.0000,4850.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,424.0000,288.0000,3818.0000,4468.0000,3049.0000,0.0000,10.0000,796.0000,415.0000,0.0000,10133.0000,7517.0000,7517.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,,,,275.0000,5.0000,,0.0000,,,,,5.2600,5.3200,1.3100,357.0000,405.0000,1.3200,,,,,,351.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,753.0000,300.0000,,,,,,,,,,,,269.3000,0.0000,0.0000,0.0000,0.0000,,,,,0.0000,0.0000,0.0000,0.0000,,-263.0000,0.0000,702.0000,702.0000,,-1484.0000,,-1224.0000,1570.0000,,,,,,,,,106.0000,12.0000,1570.0000,0.0000,2616.0000,,,,,,,,,,,,,,,,,,,,,,,,-11.0000,,181.0000,173.0000,2616.0000,1418.0000,,10.0000,,,0.0000,0.0000,1150.0000,0.0000,0.0000,35.0000,,35.0000,73.0000,76.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1569.0000,,,,,541.0000,0.0000,,0.0000,1165.0000,,,,,,,,,,,,378.0000,1053.0000,,327.0000,1092.0000,283.800000000000,294.130000000000,223.030000000000
