ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
AAOI,2025-01-27,24.54,2025-02-10,30.52,0.24368378158109216,0.009142900901601747,0.23454088067949042,1,0.036358279962234064,-0.07980049875311723,0.08269900433058455,Vulnerable
AAPL,2025-01-27,228.6112,2025-02-10,226.6621,-0.008525829005752938,0.009142900901601747,-0.017668729907354686,1,0.029877686140101445,-0.04900579518742321,0.021412957355743313,Vulnerable
ACIW,2025-01-27,53.25,2025-02-10,52.97,-0.005258215962441359,0.009142900901601747,-0.014401116864043106,1,0.020731743894862986,-0.0353820900966626,0.014443675488266083,Vulnerable
ADBE,2025-01-27,438.6,2025-02-10,451.1,0.028499772001824075,0.009142900901601747,0.019356871100222328,1,0.041523352930557755,-0.028991031390134592,0.015295062024726636,Vulnerable
ADI,2025-01-27,211.2636,2025-02-10,200.9073,-0.04902074943340928,0.009142900901601747,-0.05816365033501103,1,-0.0531296773782578,-0.04902074943340928,0.015041600082527985,Vulnerable
ADP,2025-01-27,291.2353,2025-02-10,297.8138,0.022588264540734038,0.009142900901601747,0.01344536363913229,1,0.037792809229673874,-0.009709689976393654,0.008371328063183423,Vulnerable
ADSK,2025-01-27,299.07,2025-02-10,304.99,0.019794696893703945,0.009142900901601747,0.010651795992102198,1,0.020227290104058437,-0.0327916238437822,0.01816956854590308,Vulnerable
ADTN,2025-01-27,9.49,2025-02-10,11.35,0.19599578503688075,0.009142900901601747,0.186852884135279,1,0.11148262538121967,-0.03849765258215965,0.044941184371340114,Vulnerable
AEIS,2025-01-27,112.908,2025-02-10,112.4793,-0.0037968965883729,0.009142900901601747,-0.012939797489974647,1,-0.09426226785686953,-0.03206438504109488,0.03293842974247293,Vulnerable
AGYS,2025-01-27,89.73,2025-02-10,85.56,-0.046472751588097605,0.009142900901601747,-0.05561565248969935,1,-0.06713662724662772,-0.078645607961921,0.024070553637355507,Vulnerable
AI,2025-01-27,31.14,2025-02-10,35.09,0.12684649967886963,0.009142900901601747,0.11770359877726788,1,0.08080228434738834,-0.0542424242424242,0.04175452979923271,Vulnerable
AIFF,2025-01-27,3.57,2025-02-10,3.1,-0.13165266106442575,0.009142900901601747,-0.1407955619660275,1,-0.14438417341708298,-0.14835164835164827,0.05106604852195979,Vulnerable
AIP,2025-01-27,10.3,2025-02-10,9.92,-0.03689320388349526,0.009142900901601747,-0.04603610478509701,1,-0.16964207225233563,-0.15432649420160593,0.057341514893379415,Vulnerable
AISP,2025-01-27,4.63,2025-02-10,5.74,0.23974082073434122,0.009142900901601747,0.23059791983273947,1,0.17847768911226625,-0.06479481641468676,0.06612924416403698,Vulnerable
