ticker,company_name,sic,sic_description,cluster
AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,1
SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices,1
ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,1
AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,1
ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,1
CACI,CACI INTERNATIONAL INC /DE/,7373,Services-Computer Integrated Systems Design,1
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Radio & Tv Broadcasting & Communications Equipment,1
CTS,CTS CORP,3672,Printed Circuit Boards,1
DBD,"DIEBOLD NIXDORF, Inc",3578,Calculating & Accounting Machines (No Electronic Computers),1
DIOD,DIODES INC /DEL/,3674,Semiconductors & Related Devices,1
FELE,FRANKLIN ELECTRIC CO INC,3621,Motors & Generators,1
HPQ,HP INC,3570,Computer & office Equipment,1
HUBB,HUBBELL INC,3670,Electronic Components & Accessories,1
INTC,INTEL CORP,3674,Semiconductors & Related Devices,1
IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment,1
KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices,1
MEI,METHODE ELECTRONICS INC,3678,Electronic Connectors,1
MVIS,"MICROVISION, INC.",3679,"Electronic Components, NEC",1
MSI,"Motorola Solutions, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,1
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",3669,"Communications Equipment, NEC",1
VYX,NCR Voyix Corp,3578,Calculating & Accounting Machines (No Electronic Computers),1
AGYS,AGILYSYS INC,7373,Services-Computer Integrated Systems Design,1
PBI,PITNEY BOWES INC /DE/,3579,"Office Machines, NEC",1
SMTC,SEMTECH CORP,3674,Semiconductors & Related Devices,1
TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,1
VSH,VISHAY INTERTECHNOLOGY INC,3670,Electronic Components & Accessories,1
WDC,WESTERN DIGITAL CORP,3572,Computer Storage Devices,1
WWD,"Woodward, Inc.",3620,Electrical Industrial Apparatus,1
PSN,PARSONS CORP,7373,Services-Computer Integrated Systems Design,1
TLS,TELOS CORP,7373,Services-Computer Integrated Systems Design,1
AAPL,Apple Inc.,3571,Electronic Computers,1
