1,0000002186,BKTI,BK Technologies Corp,3663,Radio & Tv Broadcasting & Communications Equipment
2,0000002488,AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices
3,0000004127,SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices
4,0000006281,ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices
5,0000006951,AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices
6,0000008146,ALOT,"AstroNova, Inc.",3577,"Computer Peripheral Equipment, NEC"
7,0000008670,ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation
8,0000016058,CACI,CACI INTERNATIONAL INC /DE/,7373,Services-Computer Integrated Systems Design
9,0000023197,CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,Radio & Tv Broadcasting & Communications Equipment
10,0000026058,CTS,CTS CORP,3672,Printed Circuit Boards
11,0000028823,DBD,"DIEBOLD NIXDORF, Inc",3578,Calculating & Accounting Machines (No Electronic Computers)
12,0000029002,DIOD,DIODES INC /DEL/,3674,Semiconductors & Related Devices
13,0000033533,ESP,ESPEY MFG & ELECTRONICS CORP,3679,"Electronic Components, NEC"
14,0000038725,FELE,FRANKLIN ELECTRIC CO INC,3621,Motors & Generators
15,0000047217,HPQ,HP INC,3570,Computer & office Equipment
16,0000048898,HUBB,HUBBELL INC,3670,Electronic Components & Accessories
17,0000050292,IEHC,IEH Corp,3678,Electronic Connectors
18,0000050471,TRAK,"ReposiTrak, Inc.",7374,Services-Computer Processing & Data Preparation
19,0000050863,INTC,INTEL CORP,3674,Semiconductors & Related Devices
20,0000051143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment
21,0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices
22,0000061004,LGL,LGL GROUP INC,3679,"Electronic Components, NEC"
23,0000065270,MEI,METHODE ELECTRONICS INC,3678,Electronic Connectors
24,0000065770,MVIS,"MICROVISION, INC.",3679,"Electronic Components, NEC"
25,0000068505,MSI,"Motorola Solutions, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment
26,0000069633,NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",3669,"Communications Equipment, NEC"
27,0000070866,VYX,NCR Voyix Corp,3578,Calculating & Accounting Machines (No Electronic Computers)
28,0000078749,AGYS,AGILYSYS INC,7373,Services-Computer Integrated Systems Design
29,0000078814,PBI,PITNEY BOWES INC /DE/,3579,"Office Machines, NEC"
30,0000084112,RSKIA,"GEORGE RISK INDUSTRIES, INC.",3669,"Communications Equipment, NEC"
31,0000087050,NEON,Neonode Inc.,3679,"Electronic Components, NEC"
32,0000088941,SMTC,SEMTECH CORP,3674,Semiconductors & Related Devices
33,0000091668,SODI,SOLITRON DEVICES INC,3674,Semiconductors & Related Devices
34,0000096885,TIKK,TEL INSTRUMENT ELECTRONICS CORP,3670,Electronic Components & Accessories
35,0000097476,TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices
36,0000103730,VSH,VISHAY INTERTECHNOLOGY INC,3670,Electronic Components & Accessories
37,0000106040,WDC,WESTERN DIGITAL CORP,3572,Computer Storage Devices
38,0000108312,WWD,"Woodward, Inc.",3620,Electrical Industrial Apparatus
39,0000275880,PSN,PARSONS CORP,7373,Services-Computer Integrated Systems Design
40,0000278165,OMQS,OMNIQ Corp.,7373,Services-Computer Integrated Systems Design
41,0000320121,TLS,TELOS CORP,7373,Services-Computer Integrated Systems Design
42,0000320193,AAPL,Apple Inc.,3571,Electronic Computers
43,0000356037,CSPI,CSP INC /MA/,7373,Services-Computer Integrated Systems Design
44,0000708821,PAR,PAR TECHNOLOGY CORP,3578,Calculating & Accounting Machines (No Electronic Computers)
45,0000709283,QMCO,QUANTUM CORP /DE/,3572,Computer Storage Devices
46,0000712515,EA,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software
47,0000717826,ERIC,ERICSSON LM TELEPHONE CO,3663,Radio & Tv Broadcasting & Communications Equipment
48,0000719733,KTCC,KEY TRONIC CORP,3672,Printed Circuit Boards
49,0000722313,NSYS,NORTECH SYSTEMS INC,3679,"Electronic Components, NEC"
50,0000722572,FKWL,FRANKLIN WIRELESS CORP,3661,Telephone & Telegraph Apparatus
51,0000723125,MU,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices
52,0000724910,NVEC,NVE CORP /NEW/,3674,Semiconductors & Related Devices
53,0000729580,BELFA,BEL FUSE INC /NJ,3677,"Electronic Coils, Transformers & Other Inductors"
54,0000733269,RAMP,"LiveRamp Holdings, Inc.",7374,Services-Computer Processing & Data Preparation
55,0000736012,INTZ,INTRUSION INC,3576,Computer Communications Equipment
56,0000740664,RFIL,R F INDUSTRIES LTD,3678,Electronic Connectors
57,0000746210,OBLG,"Oblong, Inc.",7370,"Services-Computer Programming, Data Processing, Etc."
58,0000746838,UIS,UNISYS CORP,7373,Services-Computer Integrated Systems Design
59,0000748268,RCAT,"Red Cat Holdings, Inc.",7372,Services-Prepackaged Software
60,0000750004,LNW,"Light & Wonder, Inc.",7373,Services-Computer Integrated Systems Design
61,0000751978,VICR,VICOR CORP,3679,"Electronic Components, NEC"
62,0000769397,ADSK,"Autodesk, Inc.",7372,Services-Prepackaged Software
63,0000771266,KOPN,KOPIN CORP,3674,Semiconductors & Related Devices
64,0000772406,CRUS,"CIRRUS LOGIC, INC.",3674,Semiconductors & Related Devices
65,0000779152,JKHY,JACK HENRY & ASSOCIATES INC,7373,Services-Computer Integrated Systems Design
66,0000785786,PLXS,PLEXUS CORP,3672,Printed Circuit Boards
67,0000789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software
68,0000790273,CONC,CONECTISYS CORP,3663,Radio & Tv Broadcasting & Communications Equipment
69,0000796343,ADBE,ADOBE INC.,7372,Services-Prepackaged Software
70,0000796505,CLFD,"Clearfield, Inc.",3661,Telephone & Telegraph Apparatus
71,0000797542,VBIX,Viewbix Inc.,7372,Services-Prepackaged Software
72,0000802257,MITI,"Mitesco, Inc.",7370,"Services-Computer Programming, Data Processing, Etc."
73,0000803578,AIFF,"FIREFLY NEUROSCIENCE, INC.",7372,Services-Prepackaged Software
74,0000804328,QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment
75,0000807863,MITK,MITEK SYSTEMS INC,3577,"Computer Peripheral Equipment, NEC"
76,0000810136,PLAB,PHOTRONICS INC,3674,Semiconductors & Related Devices
77,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software
78,0000816761,TDC,TERADATA CORP /DE/,7372,Services-Prepackaged Software
79,0000817720,SYNA,SYNAPTICS Inc,3674,Semiconductors & Related Devices
80,0000820313,APH,AMPHENOL CORP /DE/,3678,Electronic Connectors
81,0000827054,MCHP,MICROCHIP TECHNOLOGY INC,3674,Semiconductors & Related Devices
82,0000828146,LINK,INTERLINK ELECTRONICS INC,3577,"Computer Peripheral Equipment, NEC"
83,0000830616,SCIA,"SCI Engineered Materials, Inc.",3620,Electrical Industrial Apparatus
84,0000832370,EAXR,"Ealixir, Inc.",7372,Services-Prepackaged Software
85,0000833640,POWI,POWER INTEGRATIONS INC,3674,Semiconductors & Related Devices
86,0000836690,ISSC,INNOVATIVE SOLUTIONS & SUPPORT INC,7371,Services-Computer Programming Services
87,0000840715,CLRO,CLEARONE INC,3661,Telephone & Telegraph Apparatus
88,0000846546,BNSOF,BONSO ELECTRONICS INTERNATIONAL INC,3679,"Electronic Components, NEC"
89,0000849399,GEN,Gen Digital Inc.,7372,Services-Prepackaged Software
90,0000851310,HLIT,HARMONIC INC.,3663,Radio & Tv Broadcasting & Communications Equipment
91,0000854775,DGII,DIGI INTERNATIONAL INC,3576,Computer Communications Equipment
92,0000855658,LSCC,LATTICE SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices
93,0000857005,PTC,PTC INC.,7372,Services-Prepackaged Software
94,0000858877,CSCO,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment
95,0000860731,TYL,TYLER TECHNOLOGIES INC,7372,Services-Prepackaged Software
96,0000863436,BHE,BENCHMARK ELECTRONICS INC,3672,Printed Circuit Boards
97,0000866291,ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Semiconductors & Related Devices
98,0000866374,FLEX,FLEX LTD.,3672,Printed Circuit Boards
99,0000866439,DPLS,"DarkPulse, Inc.",7372,Services-Prepackaged Software
100,0000866706,ESE,ESCO TECHNOLOGIES INC,3669,"Communications Equipment, NEC"
101,0000876167,PRGS,PROGRESS SOFTWARE CORP /MA,7372,Services-Prepackaged Software
102,0000876779,MGIC,MAGIC SOFTWARE ENTERPRISES LTD,7372,Services-Prepackaged Software
103,0000880807,AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,3621,Motors & Generators
104,0000882508,QUIK,QUICKLOGIC Corp,3674,Semiconductors & Related Devices
105,0000883241,SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software
106,0000884144,ASUR,ASURE SOFTWARE INC,7373,Services-Computer Integrated Systems Design
107,0000885740,SPNS,SAPIENS INTERNATIONAL CORP N V,7372,Services-Prepackaged Software
108,0000886128,FCEL,FUELCELL ENERGY INC,3620,Electrical Industrial Apparatus
109,0000889971,LPTH,LIGHTPATH TECHNOLOGIES INC,3674,Semiconductors & Related Devices
110,0000890394,PRSO,Peraso Inc.,3674,Semiconductors & Related Devices
111,0000891103,MTCH,"Match Group, Inc.",7370,"Services-Computer Programming, Data Processing, Etc."
112,0000894501,GRHI,"GOLD ROCK HOLDINGS, INC.",7373,Services-Computer Integrated Systems Design
113,0000895419,WOLF,"WOLFSPEED, INC.",3674,Semiconductors & Related Devices
114,0000896429,CTLP,"CANTALOUPE, INC.",3578,Calculating & Accounting Machines (No Electronic Computers)
115,0000896878,INTU,INTUIT INC.,7372,Services-Prepackaged Software
116,0000897078,KOAN,"Resonate Blends, Inc.",7372,Services-Prepackaged Software
117,0000897322,GILT,GILAT SATELLITE NETWORKS LTD,3663,Radio & Tv Broadcasting & Communications Equipment
118,0000897723,SANM,SANMINA CORP,3672,Printed Circuit Boards
119,0000898293,JBL,JABIL INC,3672,Printed Circuit Boards
120,0000903651,INOD,INNODATA INC,7374,Services-Computer Processing & Data Preparation
121,0000909494,TCX,TUCOWS INC /PA/,7374,Services-Computer Processing & Data Preparation
122,0000910638,DDD,3D SYSTEMS CORP,7372,Services-Prepackaged Software
123,0000912093,VIAV,VIAVI SOLUTIONS INC.,3674,Semiconductors & Related Devices
124,0000914139,PRKR,PARKERVISION INC,3663,Radio & Tv Broadcasting & Communications Equipment
125,0000916793,SILC,SILICOM LTD.,3576,Computer Communications Equipment
126,0000917273,RMBS,RAMBUS INC,3674,Semiconductors & Related Devices
127,0000922521,FALC,FALCONSTOR SOFTWARE INC,7372,Services-Prepackaged Software
128,0000924613,NOK,NOKIA CORP,3663,Radio & Tv Broadcasting & Communications Equipment
129,0000926282,ADTN,"ADTRAN Holdings, Inc.",3661,Telephone & Telegraph Apparatus
130,0000926326,OMCL,"OMNICELL, INC.",3571,Electronic Computers
131,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,3679,"Electronic Components, NEC"
132,0000928876,TSEM,TOWER SEMICONDUCTOR LTD,3674,Semiconductors & Related Devices
133,0000931148,EAF,GRAFTECH INTERNATIONAL LTD,3620,Electrical Industrial Apparatus
134,0000932021,GTLL,GLOBAL TECHNOLOGIES LTD,3663,Radio & Tv Broadcasting & Communications Equipment
135,0000932696,NSIT,INSIGHT ENTERPRISES INC,5961,Retail-Catalog & Mail-Order Houses
136,0000932787,STM,STMicroelectronics N.V.,3674,Semiconductors & Related Devices
137,0000933972,SCWO,374Water Inc.,3621,Motors & Generators
138,0000935036,ACIW,"ACI WORLDWIDE, INC.",7372,Services-Prepackaged Software
139,0000936395,CIEN,CIENA CORP,3661,Telephone & Telegraph Apparatus
140,0000943535,WHEN,"WORLD HEALTH ENERGY HOLDINGS, INC.",7372,Services-Prepackaged Software
141,0000944075,SCKT,"SOCKET MOBILE, INC.",3571,Electronic Computers
142,0000946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software
143,0000948708,SMSI,"SMITH MICRO SOFTWARE, INC.",7372,Services-Prepackaged Software
144,0001000184,SAP,SAP SE,7372,Services-Prepackaged Software
145,0001002047,NTAP,"NetApp, Inc.",3572,Computer Storage Devices
146,0001002638,OTEX,OPEN TEXT CORP,7373,Services-Computer Integrated Systems Design
147,0001003935,NICE,NICE Ltd.,7372,Services-Prepackaged Software
148,0001005284,OLED,UNIVERSAL DISPLAY CORP PA,3670,Electronic Components & Accessories
149,0001005516,BOSC,BOS BETTER ONLINE SOLUTIONS LTD,3576,Computer Communications Equipment
150,0001005757,CSGS,CSG SYSTEMS INTERNATIONAL INC,7374,Services-Computer Processing & Data Preparation
151,0001013237,FDS,FACTSET RESEARCH SYSTEMS INC,7370,"Services-Computer Programming, Data Processing, Etc."
152,0001013857,PEGA,PEGASYSTEMS INC,7374,Services-Computer Processing & Data Preparation
153,0001014052,DTGI,"Digerati Technologies, Inc.",7374,Services-Computer Processing & Data Preparation
154,0001014473,VRSN,VERISIGN INC/CA,7371,Services-Computer Programming Services
155,0001015739,AWRE,AWARE INC /MA/,7372,Services-Prepackaged Software
156,0001015922,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD,7372,Services-Prepackaged Software
157,0001016838,RDCM,RADCOM LTD,3577,"Computer Peripheral Equipment, NEC"
158,0001017303,TACT,TRANSACT TECHNOLOGIES INC,3577,"Computer Peripheral Equipment, NEC"
159,0001018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses
160,0001019034,BKYI,BIO KEY INTERNATIONAL INC,7372,Services-Prepackaged Software
161,0001022505,SDCH,"SideChannel, Inc.",7374,Services-Computer Processing & Data Preparation
