ticker,cluster
AAOI,1
AAPL,1
ACIW,1
ADBE,1
ADI,1
ADP,1
ADSK,1
ADTN,1
AEIS,1
AGYS,1
AI,1
AIFF,1
AIP,1
AISP,1
ALAB,1
ALGM,1
ALKT,1
ALRM,1
AMAT,1
AMBA,1
AMD,1
AMKR,1
AMPG,1
AMPL,1
AMSC,1
AMZN,1
ANET,1
AOSL,1
APH,1
API,1
APLD,1
APP,1
APPF,1
APPN,1
ARBE,1
ARM,1
ARQQ,1
ASAN,1
ASX,1
ATEN,1
ATEYY,1
ATHM,1
ATOM,1
AUDC,1
AUR,1
AUUD,1
AVGO,1
AVNW,1
AVPT,1
AXTI,1
BAND,1
BB,1
BBAI,1
BBBY,1
BE,1
BEEM,1
BHE,1
BIDU,1
BILI,1
BILL,1
BKSY,1
BL,1
BLDP,1
BLIN,1
BLKB,1
BLND,1
BLZE,1
BMBL,1
BMR,1
BOX,1
BRZE,1
BSY,1
BZ,1
BZAI,1
BZUN,1
CACI,1
CARG,1
CARS,1
CCC,1
CCSI,1
CDLX,1
CDNS,1
CDW,1
CERT,1
CEVA,1
CFLT,1
CGNT,1
CHKP,1
CHWY,1
CIEN,1
CLBT,1
CLFD,1
CLS,1
CLVT,1
CMBM,1
CMCM,1
CMRC,1
CMTL,1
CNXN,1
COUR,1
CPNG,1
CRDO,1
CRKN,1
CRM,1
CRNC,1
CRNT,1
CRSR,1
CRUS,1
CRWD,1
CSCO,1
CSGS,1
CSIQ,1
CTLP,1
CTS,1
CTSH,1
CVLT,1
CWAN,1
CXAI,1
CXM,1
CYBR,1
CYN,0
DAVA,1
DBD,1
DBX,1
DCBO,1
DDD,1
DDL,1
DDOG,1
DELL,1
DGII,1
DH,1
DIOD,1
DJT,1
DMRC,1
DOCN,1
DOCS,1
DOCU,1
DOMO,1
DOX,1
DOYU,1
DQ,1
DSGX,1
DSP,1
DT,1
DUOL,1
DV,1
DXC,1
EA,1
EAF,1
EB,1
ECX,1
EGHT,1
ENPH,1
EPAM,1
ERIC,1
ESE,1
ESTC,1
EVCM,1
EVER,1
EVLV,1
EVTC,1
EXFY,1
EXTR,1
FA,1
FCEL,1
FDS,1
FELE,1
FFIV,1
FIVN,1
FLEX,1
FLUT,1
FN,1
FORM,1
FROG,1
FRSH,1
FRSX,1
FSLR,1
FSLY,1
FTCI,1
FTNT,1
GCT,1
GDDY,1
GDRX,1
GDS,1
GDYN,1
GEN,1
GFS,1
GILT,1
GLBE,1
GLOB,1
GNRC,1
GNS,1
GOOGL,1
GRND,1
GRRR,1
GRVY,1
GSIT,1
GTLB,1
GTM,1
GWRE,1
GXAI,1
HCAT,1
HCTI,1
HEPS,1
HIMX,1
HLIT,1
HNST,1
HOLO,1
HOUR,1
HPE,1
HPQ,1
HSTM,1
HUBB,1
HUBC,1
HUBS,1
HUYA,1
IAC,1
IBM,1
ICHR,1
IFNNY,1
IMMR,1
INDI,1
INFY,1
INOD,1
INSG,1
INTA,1
INTC,1
INTU,1
IONQ,1
IOT,1
IPGP,1
JBL,1
JKHY,1
JKS,1
JMIA,1
JOYY,1
KC,1
KD,1
KLIC,1
KOPN,1
KSCP,1
KULR,1
KVYO,1
LAES,1
LASR,1
LAW,1
LDOS,1
LEDS,1
LIF,1
LITE,1
LOGC,1
LOGI,1
LPL,1
LPSN,1
LSCC,1
LSPD,1
LUXE,1
LYTHF,1
LZ,1
MANH,1
