ticker,title,CIK,SIC,SIC_description
BKTI,BK Technologies Corp,2186,3663,Radio & Tv Broadcasting & Communications Equipment
AMD,ADVANCED MICRO DEVICES INC,2488,3674,Semiconductors & Related Devices
SWKS,"SKYWORKS SOLUTIONS, INC.",4127,3674,Semiconductors & Related Devices
ADI,ANALOG DEVICES INC,6281,3674,Semiconductors & Related Devices
AMAT,APPLIED MATERIALS INC /DE,6951,3674,Semiconductors & Related Devices
ALOT,"AstroNova, Inc.",8146,3577,"Computer Peripheral Equipment, NEC"
ADP,AUTOMATIC DATA PROCESSING INC,8670,7374,Services-Computer Processing & Data Preparation
CACI,CACI INTERNATIONAL INC /DE/,16058,7373,Services-Computer Integrated Systems Design
CMTL,COMTECH TELECOMMUNICATIONS CORP /DE/,23197,3663,Radio & Tv Broadcasting & Communications Equipment
CTS,CTS CORP,26058,3672,Printed Circuit Boards
DBD,"DIEBOLD NIXDORF, Inc",28823,3578,Calculating & Accounting Machines (No Electronic Computers)
DIOD,DIODES INC /DEL/,29002,3674,Semiconductors & Related Devices
ESP,ESPEY MFG & ELECTRONICS CORP,33533,3679,"Electronic Components, NEC"
FELE,FRANKLIN ELECTRIC CO INC,38725,3621,Motors & Generators
HPQ,HP INC,47217,3570,Computer & office Equipment
HUBB,HUBBELL INC,48898,3670,Electronic Components & Accessories
IEHC,IEH Corp,50292,3678,Electronic Connectors
TRAK,"ReposiTrak, Inc.",50471,7374,Services-Computer Processing & Data Preparation
INTC,INTEL CORP,50863,3674,Semiconductors & Related Devices
IBM,INTERNATIONAL BUSINESS MACHINES CORP,51143,3570,Computer & office Equipment
KLIC,KULICKE & SOFFA INDUSTRIES INC,56978,3674,Semiconductors & Related Devices
LGL,LGL GROUP INC,61004,3679,"Electronic Components, NEC"
MEI,METHODE ELECTRONICS INC,65270,3678,Electronic Connectors
MVIS,"MICROVISION, INC.",65770,3679,"Electronic Components, NEC"
MSI,"Motorola Solutions, Inc.",68505,3663,Radio & Tv Broadcasting & Communications Equipment
NSSC,"NAPCO SECURITY TECHNOLOGIES, INC",69633,3669,"Communications Equipment, NEC"
VYX,NCR Voyix Corp,70866,3578,Calculating & Accounting Machines (No Electronic Computers)
AGYS,AGILYSYS INC,78749,7373,Services-Computer Integrated Systems Design
PBI,PITNEY BOWES INC /DE/,78814,3579,"Office Machines, NEC"
RSKIA,"GEORGE RISK INDUSTRIES, INC.",84112,3669,"Communications Equipment, NEC"
NEON,Neonode Inc.,87050,3679,"Electronic Components, NEC"
SMTC,SEMTECH CORP,88941,3674,Semiconductors & Related Devices
SODI,SOLITRON DEVICES INC,91668,3674,Semiconductors & Related Devices
TIKK,TEL INSTRUMENT ELECTRONICS CORP,96885,3670,Electronic Components & Accessories
TXN,TEXAS INSTRUMENTS INC,97476,3674,Semiconductors & Related Devices
VSH,VISHAY INTERTECHNOLOGY INC,103730,3670,Electronic Components & Accessories
WDC,WESTERN DIGITAL CORP,106040,3572,Computer Storage Devices
WWD,"Woodward, Inc.",108312,3620,Electrical Industrial Apparatus
PSN,PARSONS CORP,275880,7373,Services-Computer Integrated Systems Design
OMQS,OMNIQ Corp.,278165,7373,Services-Computer Integrated Systems Design
TLS,TELOS CORP,320121,7373,Services-Computer Integrated Systems Design
AAPL,Apple Inc.,320193,3571,Electronic Computers
CSPI,CSP INC /MA/,356037,7373,Services-Computer Integrated Systems Design
PAR,PAR TECHNOLOGY CORP,708821,3578,Calculating & Accounting Machines (No Electronic Computers)
QMCO,QUANTUM CORP /DE/,709283,3572,Computer Storage Devices
EA,ELECTRONIC ARTS INC.,712515,7372,Services-Prepackaged Software
ERIC,ERICSSON LM TELEPHONE CO,717826,3663,Radio & Tv Broadcasting & Communications Equipment
KTCC,KEY TRONIC CORP,719733,3672,Printed Circuit Boards
NSYS,NORTECH SYSTEMS INC,722313,3679,"Electronic Components, NEC"
FKWL,FRANKLIN WIRELESS CORP,722572,3661,Telephone & Telegraph Apparatus
MU,MICRON TECHNOLOGY INC,723125,3674,Semiconductors & Related Devices
NVEC,NVE CORP /NEW/,724910,3674,Semiconductors & Related Devices
BELFA,BEL FUSE INC /NJ,729580,3677,"Electronic Coils, Transformers & Other Inductors"
