ticker,company_name,sic,sic_description,cluster,companyid
LOGC,ContextLogic Holdings Inc.,5961,Retail-Catalog & Mail-Order Houses,0,127912549
ZENA,"ZenaTech, Inc.",7372,Services-Prepackaged Software,0,40814475
TE,T1 Energy Inc.,3674,Semiconductors & Related Devices,0,608901501
WAY,Waystar Holding Corp.,7373,Services-Computer Integrated Systems Design,0,1859254185
WCT,Wellchange Holdings Co Ltd,7372,Services-Prepackaged Software,0,1865732034
SBET,"SharpLink Gaming, Inc.",7372,Services-Prepackaged Software,0,711461819
ORKT,ORANGEKLOUD TECHNOLOGY INC.,7372,Services-Prepackaged Software,0,1838210230
MNDR,Mobile-health Network Solutions,7372,Services-Prepackaged Software,0,1680095370
NATL,NCR Atleos Corp,3578,Calculating & Accounting Machines (No Electronic Computers),0,1801104960
ARM,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices,0,20333146
NVNI,Nvni Group Ltd,7372,Services-Prepackaged Software,2,704436982
UMAC,"Unusual Machines, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,0,1816580458
LAES,SEALSQ Corp,3674,Semiconductors & Related Devices,0,1825699846
RBRK,"Rubrik, Inc.",7372,Services-Prepackaged Software,0,289284240
SVCO,"Silvaco Group, Inc.",7372,Services-Prepackaged Software,0,1792633815
RZLV,REZOLVE AI PLC,7370,"Services-Computer Programming, Data Processing, Etc.",0,1888781773
MBLY,Mobileye Global Inc.,7372,Services-Prepackaged Software,0,1802801041
QBTS,D-Wave Quantum Inc.,7374,Services-Computer Processing & Data Preparation,0,763109
HUBC,Hub Cyber Security Ltd.,3576,Computer Communications Equipment,0,879999
GRRR,Gorilla Technology Group Inc.,7372,Services-Prepackaged Software,0,82617603
NCNO,"nCino, Inc.",7372,Services-Prepackaged Software,0,226872615
BMR,Beamr Imaging Ltd.,7372,Services-Prepackaged Software,0,647543902
SGN,"Signing Day Sports, Inc.",7374,Services-Computer Processing & Data Preparation,0,36733219
GXAI,GAXOS.AI INC.,7372,Services-Prepackaged Software,2,1764297860
OS,"OneStream, Inc.",7372,Services-Prepackaged Software,0,422612625
UBXG,U-BX Technology Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",0,1765795048
WLDS,Wearable Devices Ltd.,3576,Computer Communications Equipment,2,586158112
HOUR,"Hour Loop, Inc",5961,Retail-Catalog & Mail-Order Houses,0,1686418647
CYN,Cyngn Inc.,7371,Services-Computer Programming Services,2,601254195
BZAI,"Blaize Holdings, Inc.",3674,Semiconductors & Related Devices,2,171658800
INFA,Informatica Inc.,7372,Services-Prepackaged Software,0,7688789
WRD,WeRide Inc.,7373,Services-Computer Integrated Systems Design,0,117851917
KD,"Kyndryl Holdings, Inc.",7373,Services-Computer Integrated Systems Design,0,691274020
AMPL,"Amplitude, Inc.",7372,Services-Prepackaged Software,0,247542783
CCSI,"Consensus Cloud Solutions, Inc.",7372,Services-Prepackaged Software,0,1678014439
