ticker,company_name,sic,sic_description,cluster
LOGC,ContextLogic Holdings Inc.,5961,Retail-Catalog & Mail-Order Houses,0
ZENA,"ZenaTech, Inc.",7372,Services-Prepackaged Software,0
TE,T1 Energy Inc.,3674,Semiconductors & Related Devices,0
WAY,Waystar Holding Corp.,7373,Services-Computer Integrated Systems Design,0
WCT,Wellchange Holdings Co Ltd,7372,Services-Prepackaged Software,0
SBET,"SharpLink Gaming, Inc.",7372,Services-Prepackaged Software,0
ORKT,ORANGEKLOUD TECHNOLOGY INC.,7372,Services-Prepackaged Software,0
MNDR,Mobile-health Network Solutions,7372,Services-Prepackaged Software,0
NATL,NCR Atleos Corp,3578,Calculating & Accounting Machines (No Electronic Computers),0
ARM,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices,0
NVNI,Nvni Group Ltd,7372,Services-Prepackaged Software,2
UMAC,"Unusual Machines, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,0
LAES,SEALSQ Corp,3674,Semiconductors & Related Devices,0
RBRK,"Rubrik, Inc.",7372,Services-Prepackaged Software,0
SVCO,"Silvaco Group, Inc.",7372,Services-Prepackaged Software,0
RZLV,REZOLVE AI PLC,7370,"Services-Computer Programming, Data Processing, Etc.",0
MBLY,Mobileye Global Inc.,7372,Services-Prepackaged Software,0
QBTS,D-Wave Quantum Inc.,7374,Services-Computer Processing & Data Preparation,0
HUBC,Hub Cyber Security Ltd.,3576,Computer Communications Equipment,0
GRRR,Gorilla Technology Group Inc.,7372,Services-Prepackaged Software,0
NCNO,"nCino, Inc.",7372,Services-Prepackaged Software,0
BMR,Beamr Imaging Ltd.,7372,Services-Prepackaged Software,0
SGN,"Signing Day Sports, Inc.",7374,Services-Computer Processing & Data Preparation,0
GXAI,GAXOS.AI INC.,7372,Services-Prepackaged Software,2
OS,"OneStream, Inc.",7372,Services-Prepackaged Software,0
UBXG,U-BX Technology Ltd.,7370,"Services-Computer Programming, Data Processing, Etc.",0
WLDS,Wearable Devices Ltd.,3576,Computer Communications Equipment,2
HOUR,"Hour Loop, Inc",5961,Retail-Catalog & Mail-Order Houses,0
CYN,Cyngn Inc.,7371,Services-Computer Programming Services,2
BZAI,"Blaize Holdings, Inc.",3674,Semiconductors & Related Devices,2
INFA,Informatica Inc.,7372,Services-Prepackaged Software,0
WRD,WeRide Inc.,7373,Services-Computer Integrated Systems Design,0
KD,"Kyndryl Holdings, Inc.",7373,Services-Computer Integrated Systems Design,0
AMPL,"Amplitude, Inc.",7372,Services-Prepackaged Software,0
CCSI,"Consensus Cloud Solutions, Inc.",7372,Services-Prepackaged Software,0
CWAN,"Clearwater Analytics Holdings, Inc.",7372,Services-Prepackaged Software,0
ECX,ECARX Holdings Inc.,7373,Services-Computer Integrated Systems Design,0
