companyid,companyname,n_sentences,mean_p_positive,mean_p_negative,mean_p_neutral,mean_sentiment,std_sentiment,pct_negative,pct_neutral,pct_positive,ratio_strong_negative,ratio_strong_positive
18749,"Amazon.com, Inc.",308,0.424323178942666,0.06125537702033611,0.5144214422877442,0.36306780192232996,0.4299094901793628,0.045454545454545456,0.5584415584415584,0.3961038961038961,0.03571428571428571,0.39285714285714285
19691,"Cisco Systems, Inc.",429,0.414514651134532,0.07464857413466056,0.5108367742358387,0.3398660769998715,0.46072288538944406,0.055944055944055944,0.5431235431235432,0.40093240093240096,0.05128205128205128,0.3939393939393939
21127,Intel Corporation,401,0.4384032592277259,0.0960150894934214,0.46558165293827913,0.34238816973430447,0.49144907750644684,0.0798004987531172,0.48129675810473815,0.4389027431421446,0.0773067331670823,0.4314214463840399
21171,Intuit Inc.,395,0.36321265060171676,0.06835243568484542,0.5684349147272827,0.2948602149168713,0.43672038529245927,0.05569620253164557,0.6126582278481013,0.33164556962025316,0.05063291139240506,0.3291139240506329
21835,Microsoft Corporation,415,0.40852835660306624,0.08047460696312139,0.5109970382672836,0.3280537496399449,0.47268656365613104,0.060240963855421686,0.5518072289156627,0.38795180722891565,0.05060240963855422,0.38313253012048193
22247,Oracle Corporation,216,0.3920742974150926,0.08820952139191192,0.5197161859315302,0.3038647760231807,0.4777041146477478,0.07407407407407407,0.5601851851851852,0.36574074074074076,0.06944444444444445,0.35648148148148145
24292,"LiveRamp Holdings, Inc.",300,0.5172615326754749,0.05207408851167808,0.43066437752296527,0.4651874441637968,0.4366804583785445,0.03333333333333333,0.45,0.5166666666666667,0.03333333333333333,0.5166666666666667
24321,Adobe Inc.,335,0.44582021339838185,0.02860268604482955,0.5255770991042034,0.4172175273535523,0.3838994379808655,0.008955223880597015,0.5850746268656717,0.4059701492537313,0.008955223880597015,0.40298507462686567
24686,Amdocs Limited,304,0.41921888794259804,0.07134433490941056,0.5094367804581692,0.3478745530331875,0.4682924693402507,0.05263157894736842,0.5328947368421053,0.4144736842105263,0.049342105263157895,0.41118421052631576
24937,Apple Inc.,295,0.39565608252345,0.058512295580516425,0.5458316216276864,0.33714378694293357,0.4228413621562038,0.03389830508474576,0.5932203389830508,0.3728813559322034,0.03389830508474576,0.3694915254237288
25238,AudioCodes Ltd.,262,0.3573512463183462,0.1199216699469408,0.5227270846020515,0.2374295763714054,0.5275278836365545,0.11068702290076336,0.5572519083969466,0.3320610687022901,0.11068702290076336,0.3320610687022901
25304,"Light & Wonder, Inc.",354,0.49735889066600025,0.05345803269942812,0.4491830765622231,0.44390085796657214,0.43284448574304507,0.03672316384180791,0.4632768361581921,0.5,0.03672316384180791,0.5
25395,Ballard Power Systems Inc.,226,0.25502484562534805,0.1536378678144574,0.5913372838342216,0.10138697781089066,0.4770431439693523,0.1415929203539823,0.6548672566371682,0.20353982300884957,0.13274336283185842,0.19469026548672566
25514,"Bentley Systems, Incorporated",328,0.41719214484328404,0.07643951903659532,0.5063683392179039,0.3407526258066887,0.45535430573023455,0.06097560975609756,0.5457317073170732,0.3932926829268293,0.054878048780487805,0.3902439024390244
25941,"Cadence Design Systems, Inc.",385,0.3918961347576666,0.054986036460024194,0.5531178310319975,0.3369100982976424,0.4228428168275039,0.033766233766233764,0.587012987012987,0.37922077922077924,0.033766233766233764,0.37402597402597404
26238,Celestica Inc.,590,0.4958455645163559,0.061551070756326286,0.4426033622948295,0.43429449376002965,0.45455400539135304,0.0423728813559322,0.4457627118644068,0.511864406779661,0.0423728813559322,0.511864406779661
26399,Check Point Software Technologies Ltd.,447,0.3280218754086635,0.06244117418154074,0.6095369497034907,0.2655807012271228,0.3998012910668742,0.024608501118568233,0.6621923937360179,0.3131991051454139,0.02237136465324385,0.29977628635346754
26486,Ciena Corporation,310,0.3751080361675591,0.10707394296693946,0.5178180238742742,0.26803409320061966,0.5001739930692359,0.08709677419354839,0.5419354838709678,0.3709677419354839,0.08709677419354839,0.36774193548387096
26510,Flex Ltd.,219,0.4139088496574324,0.06418365261572749,0.5219074963511193,0.3497251970417049,0.44683739892457114,0.045662100456621,0.5525114155251142,0.4018264840182648,0.0410958904109589,0.3972602739726027
26515,"Cirrus Logic, Inc.",185,0.3565317125286202,0.08119010613174052,0.5622781810728279,0.2753416063968797,0.4567546913409258,0.05405405405405406,0.6216216216216216,0.32432432432432434,0.04864864864864865,0.32432432432432434
26789,"Commvault Systems, Inc.",248,0.41610554057443816,0.05438038354529248,0.529514079530453,0.36172515702914565,0.4244687731480236,0.03225806451612903,0.5725806451612904,0.3951612903225806,0.028225806451612902,0.3911290322580645
27223,"CSG Systems International, Inc.",363,0.4668140789422081,0.07643432448266622,0.4567515939094393,0.3903797544595419,0.4571316943559297,0.049586776859504134,0.4765840220385675,0.4738292011019284,0.046831955922865015,0.465564738292011
28374,"Extreme Networks, Inc.",296,0.37967761164543695,0.07192875037907397,0.5483936401795143,0.307748861266363,0.43735906729950663,0.05405405405405406,0.5777027027027027,0.36824324324324326,0.05405405405405406,0.35135135135135137
28648,"FormFactor, Inc.",265,0.3257715812005665,0.18270036825769634,0.4915280472135769,0.14307121294287015,0.556482483223902,0.1660377358490566,0.5320754716981132,0.3018867924528302,0.16226415094339622,0.2981132075471698
29096,Alphabet Inc.,432,0.44992545114386034,0.04781837932899146,0.5022561738539176,0.4021070718148689,0.42520805810535117,0.03009259259259259,0.5347222222222222,0.4351851851851852,0.03009259259259259,0.43287037037037035
30594,Kopin Corporation,178,0.4952682581929009,0.1077502297572373,0.396981511495254,0.3875180284356636,0.5228635594994749,0.10674157303370786,0.398876404494382,0.4943820224719101,0.10112359550561797,0.4887640449438202
30886,"LivePerson, Inc.",191,0.4494037128843523,0.08836408452184491,0.4622322010334718,0.3610396283625074,0.48559821972583933,0.07329842931937172,0.450261780104712,0.47643979057591623,0.06806282722513089,0.4712041884816754
31500,Microchip Technology Incorporated,408,0.21680079063733892,0.19333231026950456,0.5898668990931565,0.02346848036783437,0.4705992807403131,0.16911764705882354,0.6642156862745098,0.16666666666666666,0.16176470588235295,0.15196078431372548
32039,"NetScout Systems, Inc.",161,0.3179290189656504,0.19207587142284058,0.4899951095594475,0.12585314754280985,0.592975542787855,0.18012422360248448,0.4968944099378882,0.32298136645962733,0.17391304347826086,0.32298136645962733
32052,"NetApp, Inc.",397,0.44763732784350285,0.07684560360325975,0.47551706810517036,0.37079172424024315,0.4776276815671946,0.05793450881612091,0.49370277078085645,0.44836272040302266,0.055415617128463476,0.44584382871536526
32307,NVIDIA Corporation,371,0.3331449368536834,0.04231790197395652,0.6245371623019966,0.2908270348797269,0.36422616380097905,0.016172506738544475,0.6765498652291105,0.30727762803234504,0.016172506738544475,0.29380053908355797
32401,"Omnicell, Inc.",281,0.44637777166792403,0.07366728256009121,0.47995494563278357,0.3727104891078328,0.46089470628871787,0.060498220640569395,0.498220640569395,0.4412811387900356,0.05338078291814947,0.4306049822064057
32789,"PDF Solutions, Inc.",257,0.3181725202911037,0.07175017829535073,0.6100772984818725,0.24642234199575297,0.4219669108126543,0.042801556420233464,0.6653696498054474,0.2918287937743191,0.038910505836575876,0.2918287937743191
33163,"Power Integrations, Inc.",195,0.3819474896798149,0.11828093173173376,0.49977157472704464,0.26366655794808114,0.5055394689772158,0.10256410256410256,0.5076923076923077,0.38974358974358975,0.09743589743589744,0.38461538461538464
33493,QUALCOMM Incorporated,217,0.45084641223627436,0.043799385608684634,0.5053542001808088,0.40704702662758974,0.39906371721338957,0.02304147465437788,0.5345622119815668,0.4423963133640553,0.018433179723502304,0.4423963133640553
33821,"Qorvo, Inc.",319,0.38569930933129776,0.14041458137572793,0.47388610649024804,0.24528472795556985,0.5488895819689724,0.12539184952978055,0.49216300940438873,0.3824451410658307,0.12539184952978055,0.3730407523510972
34039,Sanmina Corporation,326,0.4105665091013799,0.05826551015374531,0.5311679832145937,0.35230099894763456,0.4398877674539751,0.03680981595092025,0.5552147239263804,0.40797546012269936,0.03374233128834356,0.3987730061349693
34345,Silicon Laboratories Inc.,171,0.3900316122957445,0.16221878583112742,0.44774960016842646,0.22781282646461712,0.5579059596469288,0.14619883040935672,0.47368421052631576,0.38011695906432746,0.14035087719298245,0.3742690058479532
34709,"SS&C Technologies Holdings, Inc.",214,0.40583958789253627,0.06799098310086911,0.5261694236841297,0.3378486047916671,0.43703994221396664,0.04205607476635514,0.5607476635514018,0.397196261682243,0.037383177570093455,0.3925233644859813
34839,Stratasys Ltd.,305,0.40901323218875735,0.09130001709811755,0.49968675502011034,0.31771321509063977,0.4860315359355306,0.07868852459016394,0.5180327868852459,0.40327868852459015,0.07868852459016394,0.4
34933,American Superconductor Corporation,256,0.413536248546734,0.06997288968705107,0.5164908608348924,0.3435633588596829,0.4374240844557587,0.04296875,0.55078125,0.40625,0.04296875,0.3984375
35013,Synaptics Incorporated,247,0.38816487424354623,0.08625058432181294,0.5255845439005719,0.3019142899217333,0.46670043777323794,0.06072874493927125,0.562753036437247,0.3765182186234818,0.05668016194331984,0.3684210526315789
35352,The Descartes Systems Group Inc.,431,0.30674515077909087,0.10445484086944616,0.588800009283866,0.20229030990964472,0.44645016994772113,0.06960556844547564,0.642691415313225,0.2877030162412993,0.06960556844547564,0.2877030162412993
35695,"ACI Worldwide, Inc.",281,0.3460781171394254,0.053284126948697816,0.6006377517640114,0.29279399019072755,0.4080577983252286,0.021352313167259787,0.6619217081850534,0.3167259786476868,0.021352313167259787,0.31316725978647686
35922,GrafTech International Ltd.,395,0.394367786152642,0.12456087900585011,0.4810713346670323,0.26980690714679184,0.524250717617502,0.11139240506329114,0.4936708860759494,0.3949367088607595,0.11139240506329114,0.38734177215189874
36216,"VeriSign, Inc.",138,0.24742916586430933,0.13613531731433517,0.6164355137979315,0.11129384854997414,0.45681456675442267,0.13043478260869565,0.644927536231884,0.2246376811594203,0.13043478260869565,0.2246376811594203
